tradeEffect_key,occurrences
paper_slips,1
parchment_scraps,1
parchment_wear,1
patent_fee,1
patrol_signs,1
patron_offer,1
pay_mason,1
pay_off,1
pay_scribe,1
penalties,1
pilot_offerings,1
place_banners,1
postings,1
posts,1
potential_loot,1
potential_orders,1
pouch,1
powder,1
price_potential,1
price_table,1
prize_pool,1
prize_token,1
props,1
props_wear,1
prototype,1
prototypes,1
rare_pigment,1
rations,1
raw_bad,1
raw_good,1
readings,1
reassign_workers,1
recount,1
reference_scrolls,1
refuse_removed,1
rent,1
repair_kits,1
reserve_silver,1
resin_or_glue,1
resin_torches,1
resource,1
result,1
retainers,1
rework_hours,1
ribbon_or_token,1
ring_or_token,1
room_rent,1
rugs,1
sacks,1
sacred_oil,1
sales,1
salt_or_ash_electrolyte,1
sample_cost,1
sample_fee,1
saplings,1
scaffold,1
screens,1
scroll_created,1
seal,1
seal_fee,1
seals,1
seed_capital,1
seed_out,1
seed_packets,1
seer_fee,1
shared_costs,1
shovels_wear,1
shroud,1
shutters,1
slate_or_tablet,1
small_bins,1
small_fee,1
small_funding,1
small_token,1
song_title,1
spades,1
spend_materials,1
spend_parchment,1
spend_rare,1
spend_rations,1
spend_rope,1
spend_time,1
stake,1
stall_fees,1
stamp,1
stamp_wax,1
starter_kit,1
stew,1
stipends,1
stone_blocks,1
stone_slab,1
storage_space,1
string,1
study_wear,1
supplier_blacklist,1
table_fee,1
tables,1
talismans,1
tea,1
tea_leaves,1
tea_or_bread,1
ticket_donations,1
timber,1
time_off_work,1
token,1
tokenIssued,1
token_attached,1
token_gift_in,1
token_gift_out,1
tonic_herbs_or_coffee,1
tool_pool,1
tools_checked,1
traffic,1
training,1
training_materials,1
transfer_food,1
transfer_tools,1
trays,1
treats,1
trial_materials,1
trinket,1
trustees,1
tuition,1
upkeep_textile,1
use_bandages,1
use_materials,1
use_paper,1
use_tools,1
veil,1
vendor_fees,1
vials,1
water,1
wax_tablet,1
wax_tablets,1
wear_tools,1
weight,1
wire,1
yield_rule,1
