file,tag,new_requiredMemes,indicators_matched,notes
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.ROLE_CHART_POSTING,comm.language.written|org.duty_roster,R3:text:CHART|R3:text:ROLE_CHART|R3:text:POSTING|R3:trade:parchment|R3:trade:ink|R3:text:DUTY|R3:text:ROLE_CHART|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.SIGNAL_FLAGS_PROTOCOL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.COMMON_GLOSSARY_CREATE,comm.language.written,R3:trade:parchment|R3:trade:ink|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.WAYFINDING_SIGNS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.SHADOW_BOARD_OUTLINES,comm.language.written,R3:text:BOARD,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.SIMPLE_LANGUAGE_TRAINING,comm.language.written|org.workshop_practice,R3:location:hall|R6:location:workshop,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.MEETING_MINUTES_RECORD,comm.language.written|record.ledgerkeeping,R3:trade:parchment|R3:trade:ink|R6:trade:parchment|R6:trade:ink|R6:text:RECORD,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.LEDGER_SUMMARY_WEEK,comm.language.written|record.ledgerkeeping,R3:location:hall|R3:text:LEDGER,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.QUESTIONS_OPEN_HOUR,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:hall|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.RUMOR_DEBUNK_BULLETIN,comm.language.written,R3:text:BOARD|R3:trade:parchment|R3:trade:ink|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.VISUAL_WORK_INSTRUCTIONS,heat.industrial|fire.control,R5:location:forge|R5:text:FORGE,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.PROGRESS_MARK_TOTEM,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:yard|R1:text:MARK|R6:text:MARK,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.NIGHTLY_STATUS_RUNDOWN,culture.vigil_ritual|cog.timekeeping.basic|heat.space.hearth|comm.language.written,R2:location:hearth|R3:location:hall|R5:location:hearth,
backend/src/rps/domain/social/from-gpt/actions-by-need/clarity.ts,ClarityActionTag.MAP_AND_TERRAIN_BRIEF,comm.language.written|record.ledgerkeeping|econ.pooling_common_fund,R3:location:hall|R3:trade:parchment|R3:trade:ink|R3:text:TOKENS|R4:trade:tokens|R4:trade:parchment|R4:trade:ink|R6:trade:parchment|R6:trade:ink,
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.LIGHT_FIRE,fire.control,R5:text:LIGHT_FIRE,
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.SIT_BY_FIRE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.ENTER_SHELTER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.COVER_WITH_FUR,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.DRINK_HOT_BEVERAGE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.BUILD_BED,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.REPAIR_HOUSE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.SNUGGLE_WITH_PARTNER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.DECORATE_HOME,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/comfort.ts,ComfortActionTag.BASK_IN_SUN,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.ORGANIZE_WORK_BEE,record.ledgerkeeping|econ.pooling_common_fund|comm.language.written,R4:text:POOL|R4:text:NOTICE,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.BUILD_COMMON_INFRA,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.MAINTAIN_COMMON_INFRA,comm.language.written|tech.tool.use_basic,R6:trade:tools|R6:trade:TOOLS,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.COLLECT_COMMON_FUND,record.ledgerkeeping|econ.pooling_common_fund,R4:text:COMMON_FUND|R4:trade:ledger,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.DISTRIBUTE_COMMON_RATIONS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.HOST_COMMUNITY_FEAST,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.HOLD_OPEN_COUNCIL,comm.language.written,R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.POST_PUBLIC_NOTICES,comm.language.written,R3:text:BOARD|R3:trade:parchment|R6:trade:parchment,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.ORGANIZE_MUSTER_DRILL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.MEDIATE_NEIGHBOR_CONFLICTS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.ESTABLISH_MUTUAL_AID,record.ledgerkeeping|econ.pooling_common_fund,R4:text:MUTUAL_AID|R4:text:POOL,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.SET_COMMUNITY_NORMS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.RUN_MARKET_DAY,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.CLEAN_PUBLIC_SPACES,health.sanitation_norms|health.waste_handling|tech.tool.use_basic,R1:text:CLEAN|R1:trade:lime,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.FORM_WATCH_PATROLS,culture.vigil_ritual|cog.timekeeping.basic,R2:text:WATCH,
backend/src/rps/domain/social/from-gpt/actions-by-need/community.ts,CommunityActionTag.CELEBRATE_COMMUNITY_RITES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.ENTER_SKILL_CONTEST,comm.language.written|org.workshop_practice,R3:location:hall|R6:location:guild_hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.ENTER_HUNT_CONTEST,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.ENTER_COMBAT_SPAR,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.CHALLENGE_PUBLIC_DEBATE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.BID_FOR_CONTRACT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.OUTBID_RIVAL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.SHOWCASE_MASTERPIECE,health.sanitation_norms|health.waste_handling|comm.language.written|org.workshop_practice,R1:location:square|R3:location:hall|R3:location:square|R6:location:guild_hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.SUBMIT_INNOVATION,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.RECRUIT_ALLIES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.TRAIN_FOR_EVENT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.SCOUT_RIVAL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.NEGOTIATE_RULES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.APPEAL_JUDGEMENT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.FRIENDLY_WAGER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.COOPERATE_TEMPORARILY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/competition.ts,CompetitionActionTag.SPORTSMANSHIP_GESTURE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.ASSIGN_ROLES,comm.language.written,R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.SET_QUOTAS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.INSPECT_OUTPUT,comm.language.written|org.workshop_practice,R6:location:workshop,
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.AUDIT_STOCKS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.SET_ACCESS_RULES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.APPOINT_OVERSEER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.ISSUE_ORDER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.BROADCAST_DECREE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.ENFORCE_COMPLIANCE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.REWARD_OBEDIENCE,comm.language.written,R6:text:MARK,
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.SANCTION_DISOBEDIENCE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.REALLOCATE_RESOURCES,comm.language.written|tech.tool.use_basic,R6:trade:tools|R6:trade:TOOLS,
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.LOCKDOWN_AREA,culture.vigil_ritual|cog.timekeeping.basic,R2:location:gate,
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.SET_CURFEW,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.ESTABLISH_CHECKPOINT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/control.ts,ControlActionTag.ROTATE_DUTIES,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.STAND_GUARD_FRONTIER,culture.vigil_ritual|cog.timekeeping.basic,R2:text:WATCH,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.SCOUT_AHEAD,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.HOLD_LINE_UNDER_THREAT,culture.vigil_ritual|cog.timekeeping.basic,R2:location:gate,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.RESCUE_TRAPPED,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.FACE_BEAST_NOISE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.VOLUNTEER_FIRST_STEP,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.COVER_RETREAT,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.SPEAK_TRUTH_TO_POWER,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:hall|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.CROSS_NIGHT_PATH,culture.vigil_ritual|cog.timekeeping.basic,R2:text:NIGHT,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.ENTER_COLLAPSE_RUBBLE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.DEFY_SUPERSTITION_RITUAL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.TAKE_BLAME_FOR_TEAM,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.PUBLIC_CHALLENGE_BULLY,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.STAND_WITNESS_ALONE,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:hall|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.HOLD_VIGIL_DANGEROUS_SITE,culture.vigil_ritual|cog.timekeeping.basic,R2:text:VIGIL|R2:text:DANGEROUS_SITE,
backend/src/rps/domain/social/from-gpt/actions-by-need/courage.ts,CourageActionTag.TEST_BOUNDARIES_TRAINING,health.sanitation_norms|health.waste_handling,R1:location:yard,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.SKETCH_CONCEPT,comm.language.written,R3:trade:parchment|R6:trade:parchment,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.COMPOSE_SONG_OR_POEM,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.CRAFT_DECORATIVE_ART,comm.language.written|tech.tool.use_basic,R6:text:CRAFT_DECORATIVE_ART|R6:text:TOOLS,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.DESIGN_FUNCTIONAL_TOOL,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.PAINT_MURAL_PUBLIC,comm.language.written,R3:location:hall|R6:trade:pigments,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.CARVE_STATUE_OR_TOTEM,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.WEAVE_CEREMONIAL_TEXTILE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.PERFORM_STREET_THEATRE,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.HOST_SALON_OR_SHOWCASE,comm.language.written,R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.COLLABORATE_ARTISAN_GUILD,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.EXPERIMENT_NEW_MEDIUM,health.sanitation_norms|health.waste_handling,R1:text:WASTE,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.RESTORE_OLD_ARTWORK,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.COMMISSIONED_PIECE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.TEACH_ART_WORKSHOP,comm.language.written,R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.RITUALIZE_CREATIVE_PROCESS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/creativity.ts,CreativityActionTag.REGISTER_ART_MARK,record.ledgerkeeping|econ.pooling_common_fund|comm.language.written,R4:trade:seal|R6:text:REGISTER_ART_MARK|R6:text:MARK|R6:text:REGISTER,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.FESTIVAL_ORGANIZE,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:hall|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.ORAL_HISTORY_CIRCLE,culture.vigil_ritual|cog.timekeeping.basic|heat.space.hearth|comm.language.written,R2:location:hearth|R3:location:hall|R5:location:hearth,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.CRAFT_GUILD_EXHIBIT,comm.language.written|org.workshop_practice,R3:location:hall|R6:location:guild_hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.RITES_OF_PASSAGE,culture.vigil_ritual|cog.timekeeping.basic,R2:location:temple,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.SEASONAL_DECORATIONS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.SONG_DANCE_REHEARSAL,comm.language.written,R3:location:hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.STORYTELLER_NIGHT,culture.vigil_ritual|cog.timekeeping.basic|heat.space.hearth|comm.language.written,R2:text:NIGHT|R2:location:hearth|R3:location:hall|R5:location:hearth,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.HERITAGE_MARKERS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.SHARED_MEAL_FEAST,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:hall|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.ARTISAN_CONTEST,comm.language.written|org.workshop_practice,R3:location:hall|R6:location:guild_hall,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.SYMBOLS_STANDARDIZE,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.CULTURAL_EXCHANGE_FAIR,health.sanitation_norms|health.waste_handling|comm.language.written,R1:location:square|R3:location:square,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.TEACH_CHILDREN_CUSTOMS,culture.vigil_ritual|cog.timekeeping.basic|heat.space.hearth,R2:location:hearth|R2:location:temple|R5:location:hearth,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.MEMORIAL_SERVICE,culture.vigil_ritual|cog.timekeeping.basic,R2:location:temple,
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.PATRONAGE_CHARTER,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/culture.ts,CultureActionTag.ARCHIVE_SONGS_AND_PATTERNS,,,no_required_memes
backend/src/rps/domain/social/from-gpt/actions-by-need/curiosity.ts,CuriosityActionTag.PROSPECT_UNCHARTED_AREA,,,no_required_memes
