tradeEffect_key,category
seer_fee,Misc / Unclassified
shared_costs,Misc / Unclassified
shelves,Market & Booths
shovels_wear,Misc / Unclassified
shroud,Misc / Unclassified
shutters,Misc / Unclassified
signs,Misc / Unclassified
slate_or_tablet,Stationery & Records
small_bins,Misc / Unclassified
small_fee,Misc / Unclassified
small_funding,Misc / Unclassified
small_token,Misc / Unclassified
soap,Misc / Unclassified
song_title,Misc / Unclassified
spades,Tools & Workshop
spare_parts,Tools & Workshop
spend_drink,Misc / Unclassified
spend_food,Misc / Unclassified
spend_materials,Misc / Unclassified
spend_parchment,Misc / Unclassified
spend_rare,Misc / Unclassified
spend_rations,Misc / Unclassified
spend_rope,Misc / Unclassified
spend_stone,Misc / Unclassified
spend_time,Misc / Unclassified
spend_tools,Misc / Unclassified
spend_wood,Misc / Unclassified
stake,Misc / Unclassified
stakes,Misc / Unclassified
stall_fees,Misc / Unclassified
stamp,Misc / Unclassified
stamp_wax,Stationery & Records
starter_kit,Misc / Unclassified
stew,Misc / Unclassified
stipend,Misc / Unclassified
stipends,Misc / Unclassified
stone,Construction & Materials
stone_blocks,Misc / Unclassified
stone_slab,Misc / Unclassified
storage_space,Misc / Unclassified
string,Misc / Unclassified
study_wear,Misc / Unclassified
supplier_blacklist,Misc / Unclassified
sweets,Misc / Unclassified
table_fee,Misc / Unclassified
tables,Misc / Unclassified
tags,Misc / Unclassified
talismans,Misc / Unclassified
tea,Misc / Unclassified
tea_and_bread,Misc / Unclassified
tea_leaves,Misc / Unclassified
tea_or_bread,Food & Drink
ticket_donations,Misc / Unclassified
timber,Construction & Materials
time_off_work,Misc / Unclassified
token,Misc / Unclassified
tokenIssued,Misc / Unclassified
token_attached,Misc / Unclassified
token_gift_in,Misc / Unclassified
token_gift_out,Misc / Unclassified
tokens,"Fees, Tokens & Accounting"
tolls,Misc / Unclassified
tonic_herbs_or_coffee,Misc / Unclassified
tool_pool,Misc / Unclassified
tool_wear,Misc / Unclassified
tools,Tools & Workshop
tools_checked,Misc / Unclassified
tools_wear,Misc / Unclassified
torches,Lighting & Fuel
traffic,Misc / Unclassified
training,Misc / Unclassified
training_materials,Misc / Unclassified
transfer,Misc / Unclassified
transfer_food,Misc / Unclassified
transfer_tools,Misc / Unclassified
travel_supplies,Misc / Unclassified
trays,Containers & Packaging
treats,Misc / Unclassified
trial_materials,Misc / Unclassified
trinket,Misc / Unclassified
trustees,Misc / Unclassified
tuition,Misc / Unclassified
upkeep,Misc / Unclassified
upkeep_textile,Misc / Unclassified
use_bandages,Misc / Unclassified
use_herbs,Misc / Unclassified
use_materials,Misc / Unclassified
use_paper,Misc / Unclassified
use_parchment,Misc / Unclassified
use_tools,Misc / Unclassified
veil,Misc / Unclassified
vendor_fees,Misc / Unclassified
vials,Containers & Packaging
waste_risk,Misc / Unclassified
water,Food & Drink
wax,Misc / Unclassified
wax_tablet,Misc / Unclassified
wax_tablets,Misc / Unclassified
wear_tools,Misc / Unclassified
weight,Misc / Unclassified
whetstone_wear,Misc / Unclassified
wire,Fasteners & Small Parts
wood,Misc / Unclassified
yarn,Misc / Unclassified
yield_rule,Misc / Unclassified
