updated=67
lowConfidence=932

actions-by-need/accountability/AccountabilityActions: DUTY_CHART_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: CELEBRATE_ANNIVERSARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: TEACH_SKILL_PATIENTLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: LISTEN_ATTENTIVELY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: REASSURE_AFTER_FAILURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: SHARE_SECRET_PLACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: CRAFT_MEMENTO -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: PUBLIC_SUPPORT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: PLAN_FUTURE_TOGETHER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: GUARD_SLEEP_INTIMATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/affection/AffectionActions: MEDIATE_WITH_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: JOIN_CLAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: ATTEND_GATHERING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: PARTICIPATE_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: SHARE_MEAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: HELP_WITH_TASK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: GIFT_TO_MEMBER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: WEAR_SYMBOLS -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/belonging/BelongingActions: SING_CHANT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: DEFEND_MEMBER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: HOST_GUESTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: BUILD_COMMON_SPACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: CELEBRATE_HOLIDAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: MOURN_TOGETHER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: TELL_STORIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/belonging/BelongingActions: MEDIATE_DISPUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: MORNING_CLARITY_BRIEF -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: TASK_DEFINITION_CARDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: ROLE_CHART_POSTING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: SIGNAL_FLAGS_PROTOCOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: COMMON_GLOSSARY_CREATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: WAYFINDING_SIGNS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: SHADOW_BOARD_OUTLINES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: SIMPLE_LANGUAGE_TRAINING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: WRITTEN_LANGUAGE_TRAINING -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/clarity/ClarityActions: MEETING_MINUTES_RECORD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: LEDGER_SUMMARY_WEEK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: QUESTIONS_OPEN_HOUR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: RUMOR_DEBUNK_BULLETIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: VISUAL_WORK_INSTRUCTIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: PROGRESS_MARK_TOTEM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: NIGHTLY_STATUS_RUNDOWN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/clarity/ClarityActions: MAP_AND_TERRAIN_BRIEF -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: LIGHT_FIRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: SIT_BY_FIRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: ENTER_SHELTER -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/comfort/ComfortActions: COVER_WITH_FUR -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/comfort/ComfortActions: DRINK_HOT_BEVERAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: BUILD_BED -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: REPAIR_HOUSE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: SNUGGLE_WITH_PARTNER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: DECORATE_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/comfort/ComfortActions: BASK_IN_SUN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: ORGANIZE_WORK_BEE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: BUILD_COMMON_INFRA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: MAINTAIN_COMMON_INFRA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: COLLECT_COMMON_FUND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: DISTRIBUTE_COMMON_RATIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: HOST_COMMUNITY_FEAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: HOLD_OPEN_COUNCIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: POST_PUBLIC_NOTICES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: ORGANIZE_MUSTER_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: MEDIATE_NEIGHBOR_CONFLICTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: ESTABLISH_MUTUAL_AID -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: SET_COMMUNITY_NORMS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: RUN_MARKET_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: CLEAN_PUBLIC_SPACES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: FORM_WATCH_PATROLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/community/CommunityActions: CELEBRATE_COMMUNITY_RITES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: ENTER_SKILL_CONTEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: ENTER_HUNT_CONTEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: ENTER_COMBAT_SPAR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: CHALLENGE_PUBLIC_DEBATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: BID_FOR_CONTRACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: SHOWCASE_MASTERPIECE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: SUBMIT_INNOVATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: RECRUIT_ALLIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: TRAIN_FOR_EVENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: SCOUT_RIVAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: NEGOTIATE_RULES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: APPEAL_JUDGEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: FRIENDLY_WAGER -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/competition/CompetitionActions: COOPERATE_TEMPORARILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/competition/CompetitionActions: SPORTSMANSHIP_GESTURE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: ASSIGN_ROLES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: SET_QUOTAS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: INSPECT_OUTPUT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: AUDIT_STOCKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: SET_ACCESS_RULES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: APPOINT_OVERSEER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: ISSUE_ORDER -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: BROADCAST_DECREE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: ENFORCE_COMPLIANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: REWARD_OBEDIENCE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: SANCTION_DISOBEDIENCE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: REALLOCATE_RESOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: LOCKDOWN_AREA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: SET_CURFEW -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/control/ControlActions: ESTABLISH_CHECKPOINT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/control/ControlActions: ROTATE_DUTIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: STAND_GUARD_FRONTIER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: SCOUT_AHEAD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: HOLD_LINE_UNDER_THREAT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: RESCUE_TRAPPED -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: FACE_BEAST_NOISE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: VOLUNTEER_FIRST_STEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: COVER_RETREAT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: SPEAK_TRUTH_TO_POWER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: CROSS_NIGHT_PATH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: ENTER_COLLAPSE_RUBBLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: DEFY_SUPERSTITION_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: TAKE_BLAME_FOR_TEAM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: PUBLIC_CHALLENGE_BULLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: STAND_WITNESS_ALONE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: HOLD_VIGIL_DANGEROUS_SITE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/courage/CourageActions: TEST_BOUNDARIES_TRAINING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: SKETCH_CONCEPT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: COMPOSE_SONG_OR_POEM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: CRAFT_DECORATIVE_ART -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: DESIGN_FUNCTIONAL_TOOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: PAINT_MURAL_PUBLIC -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: CARVE_STATUE_OR_TOTEM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: WEAVE_CEREMONIAL_TEXTILE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: PERFORM_STREET_THEATRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: HOST_SALON_OR_SHOWCASE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: COLLABORATE_ARTISAN_GUILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: EXPERIMENT_NEW_MEDIUM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: RESTORE_OLD_ARTWORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: COMMISSIONED_PIECE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: TEACH_ART_WORKSHOP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: RITUALIZE_CREATIVE_PROCESS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/creativity/CreativityActions: REGISTER_ART_MARK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: FESTIVAL_ORGANIZE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: ORAL_HISTORY_CIRCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: CRAFT_GUILD_EXHIBIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: RITES_OF_PASSAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: SEASONAL_DECORATIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: SONG_DANCE_REHEARSAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: STORYTELLER_NIGHT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: HERITAGE_MARKERS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: SHARED_MEAL_FEAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: ARTISAN_CONTEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: SYMBOLS_STANDARDIZE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: CULTURAL_EXCHANGE_FAIR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: TEACH_CHILDREN_CUSTOMS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: MEMORIAL_SERVICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: PATRONAGE_CHARTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/culture/CultureActions: ARCHIVE_SONGS_AND_PATTERNS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: PROSPECT_UNCHARTED_AREA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: SAMPLE_UNKNOWN_PLANT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: TEST_STRANGE_MINERAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: FOLLOW_MYSTERIOUS_TRACKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: INTERVIEW_TRAVELER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: EXPLORE_RUINS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: PROBE_RUMOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: REVERSE_ENGINEER_ITEM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: TRY_UNFAMILIAR_CRAFT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: MAP_SUBTERRANEAN_PASSAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: RECORD_NATURAL_PHENOMENON -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: DECIPHER_SYMBOLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: OPEN_EXPLORERS_BOARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: TRAILBLAZE_NEW_ROUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: SAFETY_PROTOCOL_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/curiosity/CuriosityActions: PUBLISH_FINDINGS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: DAWN_ROLL_CALL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: CODE_RECITAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: PUNCTUALITY_CHECK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: UNIFORM_STANDARD_CHECK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: DRILL_BASIC_FORMS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: SILENCE_INTERVALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: TASK_START_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: CLEAN_AS_YOU_GO -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: STRICT_BREAK_WINDOWS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: CONSEQUENCE_LEDGER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: PRAISE_PUBLIC_GOOD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: SELF_DENIAL_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: CURFEW_OBSERVANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: EQUIPMENT_CHECK_IN_OUT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: TASK_TIME_PLEDGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/discipline/DisciplineActions: WEEKLY_RETROSPECT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: INTIMIDATING_DISPLAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: SUMMON_SUBORDINATE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/dominance/DominanceActions: ISSUE_NONNEGOTIABLE_ORDER -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/dominance/DominanceActions: ENFORCE_CURFEW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: CONFISCATE_CONTRABAND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: STRIP_PRIVILEGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: IMPOSE_FINE_OR_LEVY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: DEMAND_PUBLIC_SUBMISSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: ASSERT_TERRITORIAL_MARKER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: DEMONSTRATE_PUNISHMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: FORCE_LABOR_ROTATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: IMPOSE_QUOTA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: TAKE_HOSTAGE_AS_SURETY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: BREAK_RIVAL_NETWORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: BANISHMENT_WITH_CONDITION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/dominance/DominanceActions: SHOW_OF_FORCE_PATROL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: VALUE_STREAM_WALK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: SHADOW_TIME_STUDY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: S_SORT_SET_SHINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: REDUCE_MOTION_WASTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: KANBAN_CARD_FLOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: QUICK_CHANGEOVER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: STANDARD_CONTAINER_SIZES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: POINT_OF_USE_STORES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: TACT_RHYTHM_SIGNAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: WORK_BALANCING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: ERROR_BURNDOWN_HOUR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: MAINT_PREVENTIVE_CYCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: PATH_OPTIMIZATION_MAP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: HEAT_AND_LIGHT_TUNING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: REUSABLE_FIXTURE_PROGRAM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/efficiency/EfficiencyActions: PULL_SUPPLY_REPLENISH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/energy/EnergyActions: HIGH_PROTEIN_MEAL -> vigorous (hunting, combat, construction or hauling; cost-signals)
actions-by-need/energy/EnergyActions: POWER_NAP_20 -> moderate (walking, patrol, forage or travel; cost-signals)
actions-by-need/energy/EnergyActions: SUNLIGHT_STRETCH -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: SHORT_SPRINT_EXERCISE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/energy/EnergyActions: CAFFEINE_HERB_TONIC -> moderate (walking, patrol, forage or travel; cost-signals)
actions-by-need/energy/EnergyActions: BREATH_OXY_DRILL -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: WATER_REHYDRATE -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: MICRO_BREAK_EYESTRAIN -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/energy/EnergyActions: POSTURE_RESET -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: SNACK_TRAIL_MIX -> moderate (walking, patrol, forage or travel; cost-signals)
actions-by-need/energy/EnergyActions: SOCIAL_ENERGY_CHECKIN -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: WORKLOAD_REBALANCE -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: EARLY_LIGHTS_OUT -> vigorous (hunting, combat, construction or hauling; cost-signals)
actions-by-need/energy/EnergyActions: MORNING_COLD_SPLASH -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/energy/EnergyActions: WARMUP_BEFORE_LABOR -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/energy/EnergyActions: RECOVERY_MASSAGE -> moderate (walking, patrol, forage or travel; cost-signals)
actions-by-need/fairness/FairnessActions: POST_CLEAR_TARIFFS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/fairness/FairnessActions: WEIGH_WITH_PUBLIC_SCALES -> rest (sleep and passive recovery; cost-signals)
